Crop,Price
DRAGON FRUIT,6000
ALOE VERA,2500
AMARANTH (RAJGIRA),4000
ASHWAGANDHA,7500
ASPARAGUS,9000
AVOCADO,1000
BAMBOO,1800
BARNYARD MILLET,3500
BLUEBERRY,1200
BROCCOLI,2500
BRUSSELS SPROUTS,3000
BUCKWHEAT,4000
CAPSICUM (COLORED BELL PEPPERS),3000
CASTOR,4500
CELERY,2800
CHERRY TOMATOES,3200
CHIA SEEDS,6000
FIG (ANJEER),9500
FINGER MILLET (RAGI),3000
FLAXSEED,5000
FOXTAIL MILLET,4000
GILOY,2200
GINGER,4000
GRAM,5400
GROUNDNUT,5800
"GUAVA (PINK FLESH, THAI VARIETY)",2200
HEMP,7200
ICEBERG LETTUCE,2500
JATROPHA,2000
KALE,3200
KIWI,700
LAVENDER,4000
LEMONGRASS,2000
MORINGA,3000
MUSTARD,5200
"PAPAYA (RED LADY, TAIWAN VARIETY)",2500
PARSLEY,2800
PASSION FRUIT,5500
PEARL MILLET (BAJRA),2500
POMEGRANATE (BHAGWA VARIETY),6000
POMEGRANATES,5800
QUINOA,6000
ROSEMARY,3200
SAFFRON (KESAR),120000
SESAME,6000
SHATAVARI,6500
SORGHUM (JOWAR),2500
SOYBEAN,5000
STEVIA,2000
STRAWBERRY,1800
SUGARCANE,350
SUNFLOWER,4800
SWEET CORN,3200
TEFF,5000
TULSI,2500
TUR,7000
URAD,6800
VETIVER,4500
ZUCCHINI (GREEN & YELLOW),2200
BANANA,700
BARLEY,2200
BITTERGOURD,2000
BLACKGRAM,6700
BLACKPEPPER,40000
BOTTLEGOURD,1200
BRINJAL,1000
CABBAGE,800
CARDAMOM,90000
CAULIFLOWER,1200
CORIANDER,5500
COTTON,6200
CUCUMBER,1500
DRUMSTICK,2200
GARLIC,4000
GRAPES,2800
HORSEGRAM,3600
JACKFRUIT,1800
JOWAR,2400
JUTE,4000
LADYFINGER,2000
MAIZE,2100
MANGO,2800
MOONG,6800
ONION,1300
ORANGE,2400
PAPAYA,2200
PINEAPPLE,2400
POTATO,1100
PUMPKIN,1300
RADISH,1200
RAGI,3000
RAPESEED,5400
RICE,2800
SOYABEAN,5000
SWEETPOTATO,2000
TOMATO,1400
TURMERIC,8000
WHEAT,2500
